Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-244.7264	-314.3666	69.64014	0.00348089	0.0353599	0.0253835	0.0142719	0.00415415	0.00918868	0.000682757	0.0268623	0.0285933	0.0182823	0.0300537	0.013198	0.0507898	0.034726	0.0594542	0.0173031	0.000562249	0.0186654	0.0044772	0.00477272	0.0394678	0.0164277	0.0164161	0.0290803	0.00732249	0.00469696	0.0134458	0.0159944	0.126543	0.0259672	0.0153749	0.000992403	0.0172548	0.0169375	0.00703103	0.0758437	0.00354997	0.00698596	0.0184835	0.0211017	0.00841531	0.0382522	0.016633	0.0386385	0.00145409	0.0454909	0.13478	0.0284511	0.000403064	0.0710354	1.4459	1.777371	0.2226294	0.174059	0.426271	0.766424	1.30476	2.34592	5.74517	1.264184	0.1252577	0.0235818	0.00292095	0.0296719	0.0213003	0.0119761	0.00348591	0.00771058	0.000572928	0.0225412	0.0239938	0.0153414	0.0252192	0.011075	0.0426197	0.02914	0.0498904	0.0145197	0.000471805	0.0156628	0.00375699	0.00400497	0.033119	0.0137851	0.0137754	0.0244024	0.00614459	0.0039414	0.0112829	0.0134216	0.106187	0.0217901	0.0129017	0.000832764	0.0144792	0.0142129	0.00590001	0.0636434	0.00297892	0.0058622	0.0155102	0.0177073	0.00706162	0.032099	0.0139574	0.0324231	0.00122018	0.0381732	0.113099	0.0238744	0.000338227	0.111315	0.888685	1.191697
36	-241.5525	-309.9815	68.42906	0.0115387	0.112101	0.00640862	0.0130273	0.0219558	0.0079819	0.0141463	0.0310146	0.0174835	0.0080405	0.00248015	0.0226728	0.00897529	0.0142637	0.0198999	0.0015298	0.00448815	0.0102266	0.0345095	0.0158839	0.0103341	0.00480694	0.00348465	0.0147311	0.0260064	0.0182475	0.00646386	0.00407332	0.113401	0.0259234	0.0460917	0.0113459	0.00232047	0.0181424	0.00484912	0.0828927	0.00141166	0.0151875	0.0171136	0.0224955	0.000932606	0.0242626	0.0131804	0.0257134	0.00114304	0.0441002	0.0794844	0.0044331	0.0027267	0.149162	1.4084	1.257379	0.7426208	0.127231	0.365854	0.730735	1.36848	2.73333	7.85972	1.490788	0.59061	0.05083624	0.0112691	0.109481	0.00625886	0.0127229	0.0214427	0.00779537	0.0138158	0.0302898	0.017075	0.00785261	0.00242219	0.0221429	0.00876555	0.0139304	0.0194348	0.00149406	0.00438327	0.00998758	0.0337031	0.0155127	0.0100926	0.00469461	0.00340322	0.0143869	0.0253986	0.017821	0.00631281	0.00397813	0.110751	0.0253176	0.0450146	0.0110807	0.00226624	0.0177184	0.00473581	0.0809556	0.00137867	0.0148326	0.0167137	0.0219698	0.000910812	0.0236956	0.0128724	0.0251125	0.00111633	0.0430697	0.077627	0.0043295	0.00266298	0.37131	0.62869	1.023928
72	-242.6644	-312.3909	69.72643	0.0178547	0.0258262	0.0113547	0.00252273	0.0226491	0.0147333	0.00240158	0.0251603	0.013563	0.00353118	0.0090884	0.00748753	0.0230192	0.00423148	0.0306758	0.00829251	0.00431861	0.0119241	0.031444	0.00137178	0.0111923	0.00577975	0.00342314	0.0153085	0.00527161	0.0105373	0.0117112	0.00607658	0.00391511	0.00846909	0.00693723	0.00713227	0.0409307	0.0147209	0.017164	0.00764979	0.00944125	0.00528562	0.0205706	0.00924396	0.0080681	0.0140338	0.00612996	0.0122327	0.0116233	0.00647572	0.000983051	0.00870294	0.0254657	0.0619049	1.45029	1.7908	0.2091995	0.0928171	0.313696	0.696499	1.43575	3.1878	10.7739	1.718825	0.116819	0.02048864	0.0304725	0.0440776	0.019379	0.00430553	0.0386553	0.0251453	0.00409877	0.042941	0.0231479	0.00602666	0.0155112	0.012779	0.0392868	0.00722187	0.0523543	0.0141528	0.00737058	0.0203509	0.0536655	0.00234122	0.0191019	0.0098643	0.00584227	0.026127	0.00899705	0.017984	0.0199875	0.0103709	0.00668192	0.0144542	0.0118398	0.0121726	0.0698565	0.0251242	0.0292937	0.0130559	0.0161134	0.00902096	0.0351078	0.0157767	0.0137698	0.0239515	0.010462	0.0208775	0.0198375	0.0110521	0.00167777	0.0148533	0.0434622	0.1046	0.8954	0.5859262
108	-246.1053	-313.7678	67.6625	0.00452214	0.0122507	0.00306839	0.000221808	0.0177847	0.00749595	0.00311196	0.00664602	0.020142	0.0144166	0.00281289	0.011339	0.00634355	5.65269e-05	0.0158721	0.0130761	0.00661051	0.0104589	0.00234929	0.000704243	0.00263977	0.00153346	0.00234174	0.000842487	0.00439078	0.00212046	0.00176069	0.00176719	0.00641769	0.00735594	0.00353912	0.0188452	0.0272127	0.0166205	0.0205359	0.000521852	0.00230207	0.00210791	0.00469495	0.00321182	0.00421439	0.0136414	0.00271868	0.00639203	0.00256507	0.00014176	0.00120061	0.00527242	0.0207707	0.129845	1.41767	0.902461	1.097539	0.0751916	0.283077	0.674535	1.4825	3.53261	13.2994	1.871097	1.216162	0.04396336	0.0130335	0.0353084	0.00884357	0.000639283	0.0512582	0.0216045	0.00896914	0.0191549	0.0580525	0.041551	0.00810718	0.0326806	0.0182831	0.000162919	0.0457459	0.0376873	0.0190525	0.0301441	0.00677102	0.00202974	0.00760823	0.00441967	0.00674927	0.00242818	0.0126549	0.00611148	0.00507458	0.00509331	0.0184968	0.021201	0.0102003	0.0543149	0.0784311	0.0479029	0.0591877	0.00150406	0.00663491	0.00607531	0.0135316	0.00925696	0.0121465	0.0393167	0.00783564	0.0184228	0.00739292	0.000408573	0.00346033	0.0151959	0.0598644	0.548769	0.451231	0.3469627
144	-237.0541	-306.6397	69.5856	0.00400607	0.261653	0.00193276	0.00973472	0.0964586	0.0191519	0.00856882	0.0502579	0.043805	0.0129537	0.00279978	0.0669613	0.0446326	0.00186884	0.0946635	0.00901241	0.0316531	0.0231084	0.0049815	0.00440175	0.00180619	0.00411314	0.0150201	0.0371069	0.0270314	0.0161125	0.0210505	0.0244002	0.0257843	0.0268069	0.0184748	0.0110796	0.147767	0.0799798	0.0622963	0.00747269	0.0141797	0.011511	0.016288	0.0617646	0.0150373	0.0121576	0.0168322	4.97355e-05	0.00200489	0.050278	0.00220068	0.032219	0.0602938	0.049803	1.45609	1.868405	0.1315947	0.244112	0.502719	0.806899	1.23931	1.98918	4.09648	1.01962	0.07043154	0.0164175	0.0024825	0.162143	0.0011977	0.00603246	0.0597739	0.0118681	0.00530996	0.031144	0.0271453	0.00802723	0.00173498	0.0414949	0.0276581	0.00115809	0.0586615	0.00558485	0.0196149	0.0143199	0.00308696	0.0027277	0.00111927	0.00254885	0.0093077	0.0229946	0.0167509	0.00998469	0.0130447	0.0151204	0.0159782	0.0166118	0.0114486	0.00686583	0.0915686	0.0495622	0.0386041	0.00463071	0.00878696	0.0071332	0.0100934	0.0382745	0.00931838	0.00753388	0.0104307	3.08204e-05	0.0012424	0.0311565	0.00136373	0.0199656	0.0373631	0.0657973	0.934203	1.613724
180	-249.8957	-318.0558	68.16002	0.00503138	0.00637466	0.00161808	0.00264719	0.0149402	0.0034932	0.00368409	0.0114112	0.00186036	0.000660733	0.00512417	0.00261634	0.00101401	0.00121159	0.00809354	0.000127031	0.00743799	0.000677198	0.00150399	0.00168375	0.00128885	0.00797681	0.00467118	0.00350992	0.00513319	0.0032186	0.0100369	0.00747172	0.0130706	0.00196075	0.00409535	0.00397112	0.0115196	0.0058415	0.0149523	0.00245012	0.00236481	0.00558322	0.000275509	0.00551025	0.00265887	0.000514806	0.00897531	1.44604e-05	0.00160057	0.00413458	0.00518875	0.000848601	0.0124368	0.0890504	1.43726	1.481083	0.5189174	0.037177	0.200779	0.605984	1.65021	4.98059	26.8983	2.380389	0.3503635	0.02974014	0.0216417	0.0274196	0.00695993	0.0113865	0.064263	0.0150254	0.0158465	0.0490834	0.00800205	0.00284203	0.0220408	0.0112538	0.00436159	0.00521147	0.0348131	0.000546405	0.0319933	0.00291286	0.00646917	0.00724236	0.00554379	0.0343109	0.0200923	0.0150973	0.0220796	0.0138443	0.0431723	0.0321384	0.0562212	0.00843384	0.0176155	0.0170811	0.0495495	0.0251263	0.0643148	0.0105388	0.0101719	0.0240153	0.00118506	0.0237014	0.0114367	0.00221436	0.0386058	6.21992e-05	0.00688461	0.0177842	0.0223186	0.00365012	0.053495	0.259459	0.740541	0.2324858
216	-247.2214	-317.1859	69.96448	0.00287372	0.0370598	0.00981605	0.00295068	0.045016	0.0194648	0.00476228	0.0105724	0.00646755	0.00219569	0.00451387	0.0151178	0.0106274	0.0200196	0.032578	0.00221275	0.00857195	0.0435707	0.00300434	0.00402933	0.0173903	0.00130237	0.00827466	0.0150338	0.00732388	0.0241034	0.0108158	0.0320031	0.00661598	0.0197015	0.0281901	0.00686607	0.037722	0.0137924	0.0211235	0.00152496	0.00146528	0.00113956	0.00635595	0.0319391	0.00112261	0.00419977	0.0121897	0.00157648	0.0172714	0.0145278	0.011489	0.00591342	0.0188805	0.0481432	1.45689	1.905555	0.09444488	0.0884907	0.306478	0.691458	1.44622	3.26288	11.3006	1.753339	0.04956292	0.01586168	0.00431957	0.0557057	0.0147548	0.00443525	0.0676649	0.0292581	0.00715832	0.0158917	0.00972156	0.0033004	0.00678494	0.022724	0.0159744	0.030092	0.048969	0.00332604	0.0128847	0.0654923	0.00451591	0.00605661	0.0261399	0.00195763	0.0124379	0.0225977	0.0110087	0.0362306	0.0162575	0.0481047	0.00994467	0.0296138	0.0423733	0.0103206	0.056701	0.0207317	0.0317514	0.00229221	0.0022025	0.0017129	0.00955382	0.0480086	0.00168743	0.0063128	0.0183227	0.00236965	0.0259611	0.0218371	0.0172694	0.00888863	0.0283799	0.0472224	0.952778	0.6652789
252	-243.8274	-311.72	67.89263	0.00967297	0.0384544	0.00715173	0.00157694	0.0112583	0.00400703	0.00154729	0.0256364	0.00626855	0.0245108	0.00207768	0.0205733	0.0147218	0.00309694	0.0109739	0.0047522	0.00853407	0.022536	0.00278736	0.00291145	0.00315676	0.000626872	0.00246813	0.0105498	0.00402279	0.00461806	0.0065463	0.0227567	0.0153636	0.0148122	0.0103533	0.00164404	0.0708457	0.00157072	0.0145391	0.000262799	0.0031616	0.0198791	0.00284099	0.00709133	0.00478311	0.00221821	0.00717917	0.00473202	0.014477	0.0065371	0.00102532	0.00560777	0.0239478	0.074157	1.4444	1.088158	0.9118424	0.0505478	0.233234	0.634984	1.57484	4.28754	19.7833	2.158242	0.8379691	0.02464362	0.0189418	0.0753024	0.0140047	0.003088	0.0220462	0.00784667	0.00302994	0.0502018	0.0122752	0.0479978	0.00406857	0.0402872	0.0288285	0.0060645	0.0214894	0.00930588	0.0167116	0.0441306	0.00545828	0.00570127	0.00618165	0.00122756	0.00483316	0.0206589	0.00787752	0.00904321	0.0128191	0.0445627	0.0300854	0.0290056	0.020274	0.00321939	0.138732	0.00307582	0.0284708	0.00051462	0.00619114	0.0389278	0.0055633	0.0138864	0.00936641	0.00434376	0.0140584	0.00926635	0.0283493	0.0128011	0.00200782	0.0109813	0.0468951	0.455921	0.544079	0.5106664
288	-242.3248	-311.9131	69.58825	0.00549904	0.069889	0.0464432	0.0153505	0.029674	0.020618	0.00116428	0.0460509	0.0188766	0.0152316	0.0040931	0.0186251	0.035543	0.00279984	0.062143	0.00547981	0.0106664	0.020702	0.0243284	0.018402	0.0086563	0.00359673	0.0205634	0.050438	0.00161365	0.0074057	0.0187291	0.0530514	0.0199785	0.00254957	0.0105794	9.05183e-05	0.120158	0.000573815	0.00272017	0.00739654	0.00099886	0.0123041	0.0208114	0.0129318	0.00599971	0.020677	0.0200226	0.0462461	0.0284121	0.0141687	0.0473903	0.0118904	0.0401223	0.258786	1.35578	1.759683	0.2403169	0.224308	0.482398	0.796578	1.25537	2.07298	4.45816	1.080797	0.1365683	0.09162019	0.00508391	0.064613	0.0429371	0.0141916	0.0274339	0.0190615	0.00107639	0.0425745	0.0174516	0.0140818	0.00378411	0.017219	0.0328598	0.00258847	0.0574518	0.00506613	0.00986114	0.0191391	0.0224919	0.0170128	0.00800282	0.00332521	0.0190111	0.0466304	0.00149183	0.00684663	0.0173152	0.0490465	0.0184703	0.0023571	0.00978071	8.36849e-05	0.111087	0.000530497	0.00251482	0.00683817	0.000923455	0.0113753	0.0192403	0.0119556	0.00554678	0.0191161	0.018511	0.0427549	0.0262673	0.0130991	0.0438128	0.0109928	0.0370934	0.120158	0.879842	1.081655
324	-250.3007	-319.6848	69.38408	0.00607868	0.0541277	0.00234603	0.0135235	0.00735988	0.00331624	0.000332736	0.0107461	0.0030157	0.00398078	0.00729915	0.00621748	0.0186621	0.000815194	0.0175713	0.00729788	0.00981494	0.00182952	0.00627597	0.000892139	0.0053497	0.00134618	0.0172564	0.00363202	0.00646386	0.00175437	0.00196721	0.0230389	0.00224416	0.00482274	0.00521506	0.00292181	0.0446066	0.00231194	0.00703406	0.000729256	0.00285854	0.002479	0.00620415	0.0161045	0.00481505	0.0191295	0.00473063	0.00706513	0.0116656	0.00724673	0.00910905	0.00354484	0.0226337	0.0239637	1.4685	1.855571	0.1444288	0.0516673	0.235739	0.637104	1.5696	4.24197	19.3546	2.142403	0.0778352	0.007832888	0.0141436	0.125942	0.00545862	0.0314658	0.0171246	0.00771607	0.000774193	0.0250034	0.00701677	0.00926228	0.0169833	0.0144665	0.043422	0.00189675	0.0408842	0.0169804	0.0228369	0.00425683	0.0146026	0.00207578	0.0124474	0.00313223	0.0401514	0.0084508	0.0150398	0.00408199	0.0045772	0.0536059	0.00522159	0.0112213	0.0121342	0.00679833	0.103788	0.0053793	0.0163665	0.0016968	0.00665111	0.00576801	0.0144355	0.0374711	0.0112034	0.0445096	0.011007	0.0164388	0.0271431	0.0168613	0.0211945	0.00824797	0.052663	0.0722144	0.927786	0.4297838
