Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-247.1365	-317.0593	69.92277	0.022877	0.0132361	0.000836658	0.00803225	0.0448843	0.00891943	0.00143029	0.0127972	0.00933735	0.0150612	0.00339362	0.0267283	0.0313386	0.000214818	0.0788344	0.0058911	0.0187911	0.00238101	0.00280764	0.00322947	0.0115788	0.0100055	0.013023	0.0193688	0.0141137	0.010024	0.0211852	0.00721343	0.00820913	0.0251921	0.00494101	0.00797885	0.0106539	0.00473325	0.000953648	0.0145098	0.00763545	0.00630985	0.0921871	0.00897432	0.0245569	0.0129541	0.0106247	0.112491	0.0060182	0.00973359	0.0143215	0.012194	0.0139065	0.0501424	1.45593	1.843675	0.1563254	0.122004	0.358445	0.726086	1.37725	2.78983	8.19645	1.521121	0.08479012	0.01653125	0.0276755	0.0160124	0.00101215	0.00971706	0.054299	0.0107903	0.0017303	0.0154814	0.0112959	0.0182204	0.00410546	0.0323347	0.0379121	0.000259878	0.0953704	0.0071268	0.0227326	0.00288044	0.00339656	0.00390687	0.0140075	0.0121042	0.0157547	0.0234316	0.0170741	0.0121266	0.0256289	0.00872649	0.00993104	0.0304763	0.00597741	0.00965246	0.0128886	0.00572607	0.00115368	0.0175534	0.00923703	0.00763338	0.111524	0.0108567	0.0297079	0.0156713	0.0128533	0.136086	0.00728055	0.0117753	0.0173256	0.0147518	0.0168235	0.0781627	0.921837	0.8266129
36	-243.5612	-311.0601	67.4989	0.0032951	0.0452963	0.000486822	0.00898528	0.075003	0.028834	0.000243344	0.0232311	0.00272419	0.00421766	0.0356374	0.0383925	0.00487104	0.0041233	0.0461509	0.0244604	0.0148361	0.0250316	0.0193231	0.00128698	0.0145118	0.000907729	0.014757	0.00425782	0.0170784	0.0158038	0.0352322	0.0489155	0.0581406	0.0222326	0.0479781	0.00569897	0.0476927	0.0154826	0.0185393	0.0265408	0.013428	0.0133642	0.285191	0.011712	0.0222182	0.00525105	0.0495809	0.0643058	0.00178156	0.00887585	0.0133556	0.00844047	0.0760339	0.0887307	1.43741	1.094505	0.9054951	0.0818554	0.295046	0.683306	1.46347	3.3893	12.2167	1.809698	0.8273102	0.02963021	0.00239863	0.032973	0.000354378	0.00654075	0.0545977	0.0209894	0.00017714	0.0169109	0.00198305	0.0030702	0.0259419	0.0279475	0.00354582	0.00300152	0.0335951	0.0178057	0.0107998	0.0182215	0.0140661	0.000936847	0.0105637	0.000660773	0.0107422	0.00309944	0.0124321	0.0115043	0.025647	0.0356076	0.0423229	0.016184	0.0349252	0.00414851	0.0347175	0.0112704	0.0134955	0.0193201	0.00977476	0.00972837	0.207602	0.00852567	0.0161735	0.00382246	0.036092	0.0468108	0.00129687	0.00646109	0.00972206	0.00614416	0.0553482	0.452748	0.547252	1.373738
72	-241.3343	-311.0989	69.76452	0.0184862	0.0354527	0.00026569	0.00483948	0.0185342	0.0168533	0.00616691	0.0124393	0.0134667	0.00992145	0.00445186	0.0116349	0.0029012	0.008575	0.0203678	0.00470659	0.000780835	0.00219283	0.00307864	0.00505876	0.00388891	0.00190575	0.0177185	0.0181937	0.0123711	0.0108915	0.000366802	0.00900711	0.0259623	0.00686007	0.0118004	0.0040455	0.00741332	0.000503775	0.00182588	0.0121903	0.00441027	0.00519408	0.00705883	0.00321856	0.0487791	0.00461434	0.00616241	0.00489803	0.0752862	0.0276722	0.0121799	0.0104315	0.00533645	0.0161221	1.47226	1.937876	0.06212376	0.0738606	0.280622	0.672704	1.48654	3.56351	13.539	1.884011	0.03205765	0.005256277	0.0329897	0.0632677	0.000474141	0.00863636	0.0330754	0.0300759	0.0110052	0.0221987	0.0240322	0.0177055	0.00794463	0.0207632	0.00517737	0.0153026	0.0363477	0.00839922	0.00139345	0.00391324	0.00549402	0.00902768	0.00694001	0.00340093	0.0316198	0.0324678	0.022077	0.0194365	0.000654582	0.0160738	0.0463315	0.0122422	0.0210585	0.00721945	0.0132295	0.000899018	0.0032584	0.0217544	0.0078704	0.00926917	0.0125969	0.00574372	0.0870494	0.00823459	0.0109972	0.00874085	0.134353	0.0493827	0.0217358	0.0186157	0.00952324	0.0310619	0.968938	0.560361
108	-238.3674	-308.7726	70.40518	0.00196349	0.0317261	0.000624593	0.00063599	0.0270768	0.00965833	0.00156284	0.0271221	0.00366264	0.00794887	0.00248791	0.0106106	0.00983816	0.00551713	0.0443576	0.0101446	0.0106464	0.00264015	0.0110503	0.000399218	0.00425824	0.00517294	0.00498511	0.00456049	0.00133592	0.00290759	0.000723391	0.00555831	0.0124206	0.00619265	0.0106876	0.00506648	0.01157	0.00476625	0.005752	0.00532238	0.00510972	0.00972859	0.0035918	0.00198325	0.0136569	0.00982594	0.000892472	0.0118161	0.0254095	0.0129689	0.00290202	0.00435429	0.00231066	0.0295318	1.46582	1.978619	0.0213809	0.147859	0.39367	0.747634	1.33755	2.5402	6.7632	1.382144	0.01080597	0.00967051	0.00472558	0.0763557	0.00150322	0.00153065	0.0651662	0.0232449	0.0037613	0.0652753	0.00881493	0.0191307	0.00598769	0.0255367	0.0236777	0.0132782	0.106756	0.0244153	0.0256229	0.00635409	0.0265948	0.000960803	0.0102484	0.0124498	0.0119978	0.0109758	0.00321519	0.00699774	0.001741	0.0133773	0.0298928	0.0149039	0.0257219	0.0121936	0.0278457	0.011471	0.0138434	0.0128095	0.0122976	0.023414	0.00864444	0.00477311	0.0328684	0.0236482	0.00214793	0.0284381	0.0611533	0.0312125	0.00698434	0.0104795	0.00556111	0.0106904	0.98931	0.4155039
144	-247.3511	-316.5823	69.23119	0.00443778	0.0873001	0.00692516	0.00883706	0.0349339	0.0119506	0.0168812	0.0361254	0.00939042	0.0308163	0.0275682	0.0116539	0.00933943	0.0153005	0.0881563	0.0133137	0.00391374	0.00349663	0.0262063	0.00617496	0.00789197	0.0203093	0.00821058	0.0086257	0.000937851	0.00877992	0.0134185	0.0219155	0.0223135	0.0191965	0.015002	0.00736445	0.0178053	0.00289187	0.00185837	0.0217791	0.0105353	0.0162058	0.00995154	0.00839373	0.0673209	0.0501991	0.00970957	0.0141247	0.12075	0.0354796	0.00158619	0.0339776	0.00269852	0.214913	1.37684	1.48695	0.5130503	0.25318	0.511742	0.811389	1.23245	1.95411	3.94977	0.993248	0.3450354	0.07492376	0.00430036	0.0845968	0.00671071	0.00856342	0.0338522	0.0115805	0.0163585	0.0350068	0.00909964	0.0298621	0.0267145	0.011293	0.00905023	0.0148267	0.0854265	0.0129014	0.00379255	0.00338835	0.0253948	0.00598375	0.00764759	0.0196804	0.00795633	0.00835859	0.00090881	0.00850804	0.013003	0.0212369	0.0216226	0.0186021	0.0145375	0.0071364	0.017254	0.00280232	0.00180082	0.0211047	0.010209	0.015704	0.00964339	0.00813382	0.0652363	0.0486446	0.00940891	0.0136873	0.117011	0.034381	0.00153707	0.0329255	0.00261496	0.256525	0.743475	1.031955
180	-255.6219	-325.1287	69.50684	0.00406735	0.0254842	0.0071045	0.0133288	0.0252916	0.0360747	0.00985838	0.0272599	0.0187791	0.00808871	0.0202766	0.00512332	0.00653818	0.00455522	0.0153748	0.00743094	0.0236845	0.0436733	0.0494565	0.0081021	0.0160289	0.0173351	0.0019353	0.00924719	0.0471571	0.0471767	0.00318445	0.0260074	0.00323981	0.0282194	0.0140691	0.0217973	0.0124318	0.00471777	0.0042066	0.0123798	0.0123561	0.00861064	0.00448159	0.0090244	0.0829897	0.0177152	0.0212809	0.0246345	0.118126	0.0273436	0.00243478	0.015071	0.0155715	0.106952	1.42866	1.684475	0.3155246	0.153587	0.401035	0.75197	1.32984	2.49355	6.51098	1.354663	0.1873133	0.03593374	0.00411539	0.0257852	0.00718841	0.0134863	0.0255903	0.0365008	0.00997482	0.0275819	0.0190009	0.00818425	0.0205161	0.00518383	0.0066154	0.00460902	0.0155564	0.00751871	0.0239643	0.0441891	0.0500406	0.00819779	0.0162182	0.0175398	0.00195816	0.00935641	0.047714	0.0477339	0.00322206	0.0263146	0.00327808	0.0285527	0.0142352	0.0220547	0.0125786	0.00477349	0.00425628	0.0125261	0.0125021	0.00871234	0.00453452	0.00913099	0.0839699	0.0179244	0.0215322	0.0249255	0.119522	0.0276665	0.00246353	0.015249	0.0157554	0.157762	0.842238	0.988327
216	-248.278	-316.3824	68.10439	0.0512402	0.0150776	0.0269619	0.0107515	0.0392807	0.031101	0.00711979	0.0704912	0.0242628	0.0263365	0.00696734	0.0321799	0.00595601	0.00499098	0.120592	0.0177449	0.0267586	0.01685	0.00947972	0.0738405	0.00751747	0.0414307	0.000196738	0.0124753	0.0257518	0.00765224	0.00489729	0.063359	0.00366377	0.00229986	0.0367002	0.0893718	0.0357107	0.00941758	0.0683339	0.0526545	0.0314388	0.342096	0.040685	0.156102	0.0133914	0.0349097	0.045955	0.0134174	0.0132096	0.00399806	0.0432276	0.0449862	0.0556274	0.558592	1.21188	1.655238	0.3447617	0.341051	0.591773	0.849017	1.17783	1.68984	2.93211	0.7778216	0.2082852	0.2212471	0.026709	0.0078592	0.014054	0.00560424	0.0204751	0.0162114	0.0037112	0.0367437	0.012647	0.013728	0.00363173	0.0167738	0.00310458	0.00260156	0.0628589	0.00924958	0.013948	0.00878307	0.00494132	0.0384894	0.00391849	0.0215958	0.00010255	0.00650275	0.0134231	0.00398874	0.00255272	0.033026	0.00190975	0.0011988	0.01913	0.0465852	0.0186143	0.00490893	0.0356191	0.0274463	0.0163875	0.178318	0.0212071	0.0813682	0.00698029	0.0181967	0.0239541	0.00699384	0.00688553	0.002084	0.0225324	0.0234491	0.0289959	0.172381	0.827619	1.91846
252	-255.6272	-323.8264	68.19923	0.00252995	0.0219586	0.00807669	0.0220607	0.0637779	0.00443448	0.0139674	0.0278827	0.0144896	0.0409106	0.0191514	0.0258523	0.0511994	0.00820211	0.0720537	0.0431239	0.0269767	0.0198463	0.00706764	0.000422503	0.00130645	0.00772009	0.0213471	0.0272407	0.0151447	0.00594398	0.00284297	0.00879599	0.0213658	0.00289234	0.0107052	0.0417804	0.024825	0.0210279	0.00139357	0.0420152	0.0132167	0.050559	0.025046	0.0345726	0.0237681	0.00173429	0.0108332	0.00865322	0.0215529	0.000309506	0.0118716	0.0256366	0.0534965	0.262303	1.35409	1.051008	0.948992	0.211898	0.469192	0.78971	1.26629	2.13132	4.71925	1.12195	0.902935	0.09298131	0.0024525	0.0212863	0.00782942	0.0213853	0.0618253	0.00429872	0.0135398	0.027029	0.014046	0.0396581	0.0185651	0.0250608	0.0496319	0.007951	0.0698478	0.0418037	0.0261509	0.0192387	0.00685126	0.000409568	0.00126645	0.00748374	0.0206935	0.0264067	0.014681	0.005762	0.00275593	0.0085267	0.0207117	0.00280379	0.0103775	0.0405013	0.0240649	0.0203841	0.00135091	0.0407289	0.012812	0.0490112	0.0242792	0.0335142	0.0230404	0.00168119	0.0105015	0.0083883	0.0208931	0.00030003	0.0115081	0.0248518	0.0518587	0.474496	0.525504	1.031582
288	-240.6432	-309.2343	68.59103	0.0496367	0.0343281	0.00375632	0.0213837	0.105387	0.0242339	0.0211383	0.0563618	0.0304649	0.0168045	0.0116941	0.0449145	0.046343	0.0111077	0.0412929	0.0441723	0.0433107	0.0153914	0.00901227	0.00317758	0.00538979	0.0163239	0.00887636	0.00945702	0.00508523	0.0127564	0.00201403	0.012061	0.021022	0.0344212	0.0215062	0.0841247	0.0337602	0.0136209	0.00237001	0.0425232	0.0215119	0.136062	0.0109216	0.079088	0.0108646	0.00072399	0.0125287	0.0228923	0.0232917	0.00269153	0.0193161	0.00291565	0.0657783	0.123047	1.42094	1.305341	0.6946593	0.22893	0.487221	0.799054	1.25148	2.05246	4.36814	1.066048	0.5321671	0.04156608	0.0362891	0.0250971	0.00274623	0.0156335	0.0770482	0.0177173	0.0154541	0.0412059	0.0222727	0.0122857	0.00854948	0.0328368	0.0338812	0.00812076	0.030189	0.0322942	0.0316642	0.0112526	0.00658883	0.00232312	0.00394045	0.0119343	0.00648947	0.00691399	0.00371779	0.00932617	0.00147245	0.00881772	0.0153691	0.0251652	0.0157231	0.0615032	0.0246819	0.00995817	0.00173271	0.0310885	0.0157273	0.0994742	0.00798471	0.0578209	0.00794306	0.000529306	0.00915971	0.0167365	0.0170285	0.00196777	0.0141219	0.00213162	0.0480902	0.34733	0.65267	1.36781
324	-234.5812	-304.2964	69.71513	0.00803121	0.0755515	0.00109603	0.0187888	0.0734864	0.00302604	0.0281659	0.0248063	0.00785144	0.00378756	0.00316324	0.00658332	0.0134048	0.00556138	0.0296709	0.00741781	0.00895474	0.0391436	0.0110675	0.00132888	0.00366463	0.00513893	0.00540499	0.00724619	0.00565597	0.0466911	0.0033244	0.0155402	0.0126481	0.00776791	0.0134641	0.039015	0.0202784	0.0188802	0.00376841	0.033867	0.0185852	0.107813	0.012638	0.020155	0.00354034	0.0194987	0.00229697	0.0060866	0.00348859	0.0352685	0.00576328	0.00595758	0.0165632	0.105325	1.42944	1.768987	0.2310127	0.134469	0.37586	0.736913	1.35701	2.66056	7.43668	1.450783	0.1305904	0.03536766	0.00922176	0.0867512	0.00125851	0.021574	0.08438	0.00347462	0.0323412	0.0284836	0.00901534	0.00434903	0.00363216	0.00755924	0.015392	0.0063858	0.0340693	0.00851743	0.0102822	0.0449462	0.0127082	0.00152587	0.00420787	0.00590073	0.00620623	0.00832036	0.00649442	0.0536126	0.00381721	0.0178439	0.0145231	0.00891943	0.01546	0.0447985	0.0232845	0.021679	0.00432704	0.0388874	0.0213403	0.123796	0.0145114	0.0231427	0.00406516	0.0223892	0.00263747	0.00698887	0.00400574	0.0404967	0.00661763	0.00684074	0.0190185	0.115506	0.884494	0.8708981
